director_name,actor_1_name,actor_2_name,movie_title,budget,imdb_score
Alejandro G. Iñárritu,Naomi Watts,Eddie Marsan,21 Grams,20000000,7.7
Phil Lord,Channing Tatum,Dax Flame,21 Jump Street,42000000,7.2
Phil Lord,Channing Tatum,Craig Roberts,22 Jump Street,50000000,7.1
Shane Meadows,Bob Hoskins,Annette Badland,24 7: Twenty Four Seven,,7.1
Spike Lee,Philip Seymour Hoffman,Rosario Dawson,25th Hour,15000000,7.7
Anne Fletcher,Judy Greer,Bern Cohen,27 Dresses,30000000,6.1
Betty Thomas,Steve Buscemi,Viggo Mortensen,28 Days,43000000,6
Danny Boyle,Noah Huntley,Megan Burns,28 Days Later...,8000000,7.6
Juan Carlos Fresnadillo,Jeremy Renner,Harold Perrineau,28 Weeks Later,15000000,7
Eric Mendelsohn,Embeth Davidtz,Edie Falco,3 Backyards,300000,5.2
McG,Connie Nielsen,Richard Sammel,3 Days to Kill,28000000,6.2
Leonard Nimoy,Tom Selleck,Ted Danson,3 Men and a Baby,11000000,5.9
Charles T. Kanganis,Victor Wong,Dustin Nguyen,3 Ninjas Kick Back,20000000,4.3
DJ Pooh,Mo'Nique,Mike Epps,3 Strikes,6000000,4
James Mangold,Christian Bale,Logan Lerman,3:10 to Yuma,55000000,7.8
David Slade,Danny Huston,Mark Rendall,30 Days of Night,32000000,6.6
Ruben Fleischer,Bianca Kajlich,Dilshad Vadsaria,30 Minutes or Less,28000000,6.1
Craig Moss,French Stewart,Ashley Martin,30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,3000000,2.6
Noam Murro,Eva Green,Sullivan Stapleton,300: Rise of an Empire,110000000,6.2
Demian Lichtenstein,Jon Lovitz,Bokeem Woodbine,3000 Miles to Graceland,42000000,5.9
,Joseph Gordon-Levitt,Wayne Knight,3rd Rock from the Sun,,7.8
Cristian Mungiu,Anamaria Marinca,Vlad Ivanov,"4 Months, 3 Weeks and 2 Days",590000,7.9
Michael Lehmann,Emmanuelle Vaugier,Vinessa Shaw,40 Days and 40 Nights,17000000,5.6
Lloyd Bacon,Ginger Rogers,Dick Powell,42nd Street,439000,7.7
Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,47 Ronin,175000000,6.3
Renny Harlin,Richard Coyle,Kenneth Cranham,5 Days of War,20000000,5.6
Peter Segal,Adam Sandler,Peter Dante,50 First Dates,75000000,6.8
Jonathan Levine,Joseph Gordon-Levitt,Anna Kendrick,50/50,8000000,7.7
Marc Webb,Joseph Gordon-Levitt,Chloë Grace Moretz,500 Days of Summer,7500000,7.7
Doug Block,Carol Block,Ellen Block,51 Birch Street,,7.5
Nicholas Ray,Ava Gardner,David Niven,55 Days at Peking,9000000,6.8
Jaco Booyens,Nicole Smolen,Sebastian Aguilar,8 Days,2500000,6.9
Tom Schulman,Kristy Swanson,George Hamilton,8 Heads in a Duffel Bag,3000000,5.3
Curtis Hanson,Mekhi Phifer,Omar Benson Miller,8 Mile,41000000,7
François Ozon,Catherine Deneuve,Isabelle Huppert,8 Women,8000000,7.1
Reed Cowan,Dustin Lance Black,Emily Pearson,8: The Mormon Proposition,2500000,7.1
Jon Avnet,Al Pacino,Alicia Witt,88 Minutes,30000000,5.9
Joel Schumacher,Nicolas Cage,Chris Bauer,8MM,40000000,6.5
Michael Polish,Hayden Christensen,Bobby Batson,90 Minutes in Heaven,5000000,4.6
Adrian Lyne,David Margulies,Karen Young,9½ Weeks,17000000,5.9
Ron Howard,Adam Goldberg,Austin Pendleton,A Beautiful Mind ,58000000,8.2
Mitchell Altieri,Kimberley Crossman,Luke Edwards,A Beginner's Guide to Snuff ,,8.7
Chris Weitz,Demián Bichir,Eddie 'Piolin' Sotelo,A Better Life ,10000000,7.2
Richard Attenborough,Ryan O'Neal,Dirk Bogarde,A Bridge Too Far ,26000000,7.4
John Lasseter,Kevin Spacey,Madeline Kahn,A Bug's Life ,120000000,7.2
Bill Melendez,Peter Robbins,Bill Melendez,A Charlie Brown Christmas ,150000,8.4
Robert Zemeckis,Robin Wright,Colin Firth,A Christmas Carol ,200000000,6.8
Bob Clark,Zack Ward,Darren McGavin,A Christmas Story ,4000000,8.1
Mark Rosman,Dan Byrd,Lin Shaye,A Cinderella Story ,20000000,5.9
Steven Zaillian,Robert Duvall,Kathleen Quinlan,A Civil Action ,60000000,6.5
David Cronenberg,Michael Fassbender,Viggo Mortensen,A Dangerous Method ,15000000,6.5
Kevin Brodie,Bruce McGill,Cheryl Ladd,A Dog of Flanders ,7000000,6.3
David Hewlett,Christopher Judge,David Hewlett,A Dog's Breakfast ,120000,7
David Hewlett,Christopher Judge,David Hewlett,A Dog's Breakfast ,120000,7
Frank Borzage,Gary Cooper,Helen Hayes,A Farewell to Arms ,800000,6.6
Rob Reiner,Tom Cruise,Demi Moore,A Few Good Men ,40000000,7.6
Jonathan Meyers,Justin Baldoni,Luke Perry,A Fine Step ,1000000,5.3
Sergio Leone,Clint Eastwood,Gian Maria Volontè,A Fistful of Dollars ,200000,8
Richard Lester,Buster Keaton,Zero Mostel,A Funny Thing Happened on the Way to the Forum ,2000000,7
John Moore,Bruce Willis,Cole Hauser,A Good Day to Die Hard ,92000000,5.3
Ridley Scott,Archie Panjabi,Albert Finney,A Good Year ,35000000,6.9
Victor Fleming,Spencer Tracy,Esther Williams,A Guy Named Joe ,2627000,7
Chris Koch,Thomas Lennon,Lochlyn Munro,A Guy Thing ,20000000,5.6
Richard Lester,Paul McCartney,Ringo Starr,A Hard Day's Night ,560000,7.7
Michael Tiddes,Essence Atkins,Alanna Ubach,A Haunted House ,2500000,5.1
Michael Tiddes,Ashley Rickards,Essence Atkins,A Haunted House 2,4000000,4.7
David Cronenberg,Viggo Mortensen,Kyle Schmid,A History of Violence ,32000000,7.5
Michael Mayer,Robin Wright,Matt Frewer,A Home at the End of the World ,6500000,6.8
Brian Helgeland,Heath Ledger,Rufus Sewell,A Knight's Tale ,65000000,6.9
Penny Marshall,Tom Hanks,Lori Petty,A League of Their Own ,40000000,7.2
Kief Davidson,G.W. Krauss,Brian Whitaker,A Lego Brickumentary ,1000000,6.8
Julian Gilbey,Ed Speleers,Eamonn Walker,A Lonely Place to Die ,4000000,6.3
Nigel Cole,Aimee Garcia,Tyrone Giordano,A Lot Like Love ,30000000,6.6
Keenen Ivory Wayans,Jada Pinkett Smith,Salli Richardson-Whitfield,A Low Down Dirty Shame ,10000000,5.8
Tyler Perry,Alicia Witt,Tika Sumpter,A Madea Christmas ,25000000,4.7
F. Gary Gray,Vin Diesel,Jeff Kober,A Man Apart ,36000000,6.1
Fred Zinnemann,Robert Shaw,Susannah York,A Man for All Seasons ,2000000,7.9
Michael Winterbottom,Angelina Jolie Pitt,Archie Panjabi,A Mighty Heart ,16000000,6.7
Christopher Guest,Michael McKean,Christopher Guest,A Mighty Wind ,,7.3
Seth MacFarlane,Liam Neeson,Charlize Theron,A Million Ways to Die in the West ,40000000,6.1
Bibo Bergeron,Adam Goldberg,Bob Balaban,A Monster in Paris ,25000000,6.8
J.C. Chandor,David Oyelowo,Ashley Williams,A Most Violent Year ,20000000,7
Anton Corbijn,Philip Seymour Hoffman,Nina Hoss,A Most Wanted Man ,15000000,6.8
John Fortenberry,Will Ferrell,Chris Kattan,A Night at the Roxbury ,17000000,6.2
Wes Craven,Johnny Depp,Lin Shaye,A Nightmare on Elm Street ,1800000,7.5
Wes Craven,Johnny Depp,Lin Shaye,A Nightmare on Elm Street ,1800000,7.5
Jack Sholder,Clu Gulager,Robert Rusler,A Nightmare on Elm Street 2: Freddy's Revenge,2200000,5.4
Chuck Russell,John Saxon,Heather Langenkamp,A Nightmare on Elm Street 3: Dream Warriors,4500000,6.6
Renny Harlin,Tuesday Knight,Rodney Eastman,A Nightmare on Elm Street 4: The Dream Master,7000000,5.7
Stephen Hopkins,Lisa Wilcox,Kelly Jo Minter,A Nightmare on Elm Street 5: The Dream Child,8000000,5.1
David Lean,Richard Wilson,Judy Davis,A Passage to India ,16000000,7.4
David Twohy,Chris Hemsworth,Milla Jovovich,A Perfect Getaway ,14000000,6.5
Pascal Chaumeil,Dany Boon,Malonn Lévana,A Perfect Plan ,17000000,6.3
Benjamin Roberds,Eva Boehnke,Maxwell Moody,A Plague So Pleasant ,1400,6.3
Robert Altman,Meryl Streep,Virginia Madsen,A Prairie Home Companion ,10000000,6.8
Shane Meadows,Bob Hoskins,Paddy Considine,A Room for Romeo Brass ,,7.7
James Ivory,Julian Sands,Rupert Graves,A Room with a View ,3000000,7.4
Richard Linklater,Robert Downey Jr.,Keanu Reeves,A Scanner Darkly ,8700000,7.1
Asghar Farhadi,Shahab Hosseini,Leila Hatami,A Separation ,500000,8.4
Ethan Coen,Michael Stuhlbarg,Fred Melamed,A Serious Man ,7000000,7
Vic Sarin,Connie Nielsen,Aidan Quinn,A Shine of Rainbows ,6000000,7.2
Sam Raimi,Gary Cole,Bridget Fonda,A Simple Plan ,17000000,7.5
Michael Ritchie,Mara Wilson,Francis Capra,A Simple Wish ,28000000,5.4
Tom Ford,Colin Firth,Teddy Sears,A Single Man ,7000000,7.6
Peter Hyams,David Oyelowo,Catherine McCormack,A Sound of Thunder ,52000000,4.2
Elia Kazan,Marlon Brando,Karl Malden,A Streetcar Named Desire ,1800000,8
Mabel Cheung,Wei Tang,Ching Wan Lau,A Tale of Three Cities ,12000000,6.2
Martin Lawrence,Faizon Love,Lynn Whitfield,A Thin Line Between Love and Hate ,8000000,5.6
Brian Robbins,John Gatins,Lou Saliba,A Thousand Words ,40000000,5.9
Joel Schumacher,Kevin Spacey,Matthew McConaughey,A Time to Kill ,40000000,7.4
,David Jason,Bruce Alexander,A Touch of Frost             ,,7.8
Malcolm Goodwin,Katrina Bowden,Jon Gries,A True Story ,45000,5.5
Ben Stassen,Ed Begley Jr.,Jenny McCarthy,A Turtle's Tale: Sammy's Adventures ,,6.1
Todd Strauss-Schulson,Patton Oswalt,Thomas Lennon,A Very Harold & Kumar 3D Christmas,19000000,6.3
Jean-Pierre Jeunet,Denis Lavant,André Dussollier,A Very Long Engagement ,47000000,7.7
John Glen,Patrick Macnee,Alison Doody,A View to a Kill ,30000000,6.3
Scott Frank,Liam Neeson,Boyd Holbrook,A Walk Among the Tombstones ,28000000,6.5
Tony Goldwyn,Viggo Mortensen,Julie Kavner,A Walk on the Moon ,14000000,6.6
Adam Shankman,Lauren German,Peter Coyote,A Walk to Remember ,11000000,7.4
Maksim Fadeev,Konstantin Khabenskiy,Fedor Bondarchuk,A Warrior's Tail ,30000000,4.1
Yimou Zhang,Honglei Sun,Ni Yan,"A Woman, a Gun and a Noodle Shop ",,5.7
Yimou Zhang,Honglei Sun,Ni Yan,"A Woman, a Gun and a Noodle Shop ",,5.7
Steven Spielberg,Haley Joel Osment,William Hurt,A.I. Artificial Intelligence ,100000000,7.1
Stephen Gaghan,Charlie Hunnam,Zooey Deschanel,Abandon ,25000000,4.9
John Laing,Siobhan Marshall,Peter Feeney,Abandoned ,,6.3
Remo,Lauren Gottlieb,Remo,ABCD (Any Body Can Dance) ,,6.4
John Singleton,Ken Arnold,Benjamin J. Cain Jr.,Abduction ,35000000,5
Hans Petter Moland,Charlotte Rampling,Sara-Marie Maltha,Aberdeen ,6500000,7.3
Chris Weitz,Sharon Small,Christopher Webster,About a Boy ,30000000,7.1
Steve Pink,Joe Lo Truglio,Regina Hall,About Last Night ,12500000,6.1
Alexander Payne,Hope Davis,June Squibb,About Schmidt ,30000000,7.2
Richard Curtis,Tom Hughes,Tom Hollander,About Time ,12000000,7.8
Timur Bekmambetov,Rufus Sewell,Dominic Cooper,Abraham Lincoln: Vampire Hunter ,69000000,5.9
Mike Flanagan,Justin Gordon,Courtney Bell,Absentia ,70000,5.8
Clint Eastwood,Clint Eastwood,Mark Margolis,Absolute Power ,50000000,6.7
David O. Russell,Jake Gyllenhaal,Kirstie Alley,Accidental Love ,26000000,4
Tom Shadyac,Sean Young,Udo Kier,Ace Ventura: Pet Detective ,12000000,6.9
Steve Oedekerk,Bruce Spence,Bob Gunton,Ace Ventura: When Nature Calls ,30000000,6.3
Julie Taymor,Jim Sturgess,T.V. Carpio,Across the Universe ,45000000,7.4
Julie Taymor,Jim Sturgess,T.V. Carpio,Across the Universe ,45000000,7.4
Mike McCoy,Alex Veadov,Jason Cottle,Act of Valor ,12000000,6.5
Craig R. Baxley,Bill Duke,Vanity,Action Jackson ,7000000,5.2
Max Mayer,Peter Gallagher,Terry Walters,Adam ,,7.2
Paul Schrader,Veronica Ferres,Ayelet Zurer,Adam Resurrected ,10000000,6.3
Spike Jonze,Nicolas Cage,Meryl Streep,Adaptation. ,19000000,7.7
Bille Woodruff,Boris Kodjoe,Cameron Mills,Addicted ,5000000,5.2
Paul Weitz,Tina Fey,Sarita Choudhury,Admission ,13000000,5.7
Anne Fontaine,Robin Wright,Naomi Watts,Adore ,16000000,6.2
H.M. Coakley,Mehcad Brooks,Steffinnie Phrommany,Adulterers ,750000,4.9
Greg Mottola,Kristen Stewart,Martin Starr,Adventureland ,,6.8
Karyn Kusama,Charlize Theron,Sophie Okonedo,Æon Flux ,62000000,5.5
Ryan Smith,Sandra Ellis Lafferty,Madison Lintz,After ,650000,5.4
M. Night Shyamalan,Will Smith,Zoë Kravitz,After Earth ,130000000,4.9
Brett Ratner,Salma Hayek,Don Cheadle,After the Sunset ,58000000,6.3
Agnieszka Wojtowicz-Vosloo,Liam Neeson,Josh Charles,After.Life ,4500000,5.9
Charles S. Dutton,Omar Epps,Charles S. Dutton,Against the Ropes ,39000000,5.3
Richard Boddington,Natasha Henstridge,CJ Adams,Against the Wild ,2000000,4.7
Harald Zwart,Daniel Roebuck,Frankie Muniz,Agent Cody Banks ,26000000,5
Kevin Allen,Daniel Roebuck,Frankie Muniz,Agent Cody Banks 2: Destination London,26000000,4.5
Alejandro Amenábar,Max Minghella,Ashraf Barhom,Agora ,70000000,7.2
Max Färberböck,Heike Makatsch,Johanna Wokalek,Aimee & Jaguar ,15000000,7.3
Charles Martin Smith,Kevin Zegers,Bill Cobbs,Air Bud ,3000000,5.1
Wolfgang Petersen,Harrison Ford,Gary Oldman,Air Force One ,85000000,6.4
Rob Bowman,Alanna Ubach,Jacob Vargas,Airborne ,2600000,6.2
Raja Menon,Nimrat Kaur,Sameer Ali Khan,Airlift ,4400000,8.5
Jim Abrahams,Peter Graves,Lloyd Bridges,Airplane! ,3500000,7.8
Scandar Copti,Shahir Kabaha,Scandar Copti,Ajami ,,7.4
Doug Atchison,Curtis Armstrong,Sean Michael Afable,Akeelah and the Bee ,,7.5
Katsuhiro Ôtomo,Mitsuo Iwata,Takeshi Kusao,Akira ,1100000000,8.1
Ron Clements,Robin Williams,Frank Welker,Aladdin ,28000000,8
Rodrigo García,Mia Wasikowska,Michael McElhatton,Albert Nobbs ,8000000,6.7
Kevin Spacey,Viggo Mortensen,Joe Mantegna,Albino Alligator ,5000000,6.1
Rob Reiner,David Paymer,Lobo Sebastian,Alex & Emma ,30000000,5.6
Rob Cohen,Cicely Tyson,Chad Lindberg,Alex Cross ,35000000,5.1
Geoffrey Sax,Alex Pettyfer,Sophie Okonedo,Alex Rider: Operation Stormbreaker ,40000000,5.1
Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Alexander ,155000000,5.5
Miguel Arteta,Bella Thorne,Steve Carell,"Alexander and the Terrible, Horrible, No Good, Very Bad Day ",28000000,6.2
Henry King,Tyrone Power,Don Ameche,Alexander's Ragtime Band ,2000000,7
Charles Shyer,Omar Epps,Nia Long,Alfie ,60000000,6.2
Michael Mann,Will Smith,Jada Pinkett Smith,Ali ,107000000,6.8
Claude Miller,Sandrine Kiberlain,Edouard Baer,Alias Betty ,50000000,6.9
Tim Burton,Johnny Depp,Alan Rickman,Alice in Wonderland ,200000000,6.5
Tim Burton,Johnny Depp,Alan Rickman,Alice in Wonderland ,200000000,6.5
James Bobin,Johnny Depp,Alan Rickman,Alice Through the Looking Glass ,170000000,6.4
Ridley Scott,Tom Skerritt,Yaphet Kotto,Alien ,11000000,8.5
David Fincher,Charles S. Dutton,Holt McCallany,Alien 3,50000000,6.4
Dominic Burns,Julian Glover,Sean Pertwee,Alien Uprising ,2500000,3.1
Sharron Miller,Bernard Fox,Elizabeth MacRae,Alien Zone ,350000,4.1
Jean-Pierre Jeunet,Gary Dourdan,Michael Wincott,Alien: Resurrection ,75000000,6.3
James Cameron,Michael Biehn,Carrie Henn,Aliens ,18500000,8.4
John Schultz,Malese Jow,Carter Jenkins,Aliens in the Attic ,45000000,5.4
Colin Strause,Sam Trammell,Johnny Lewis,Aliens vs. Predator: Requiem ,40000000,4.7
Frank Marshall,Illeana Douglas,Danny Nucci,Alive ,32000000,7.1
Phil Traill,Bradley Cooper,Katy Mixon,All About Steve ,15000000,4.8
Kevin Bray,Mike Epps,Roger Guenveur Smith,All About the Benjamins ,14000000,5.7
Andrew Jarecki,Ryan Gosling,Kirsten Dunst,All Good Things ,,6.3
Leonard Farlinger,Keith Carradine,Gary Farmer,All Hat ,5000000,5.3
Phil Morrison,Sally Hawkins,Curtiss Cook,All Is Bright ,,5.6
J.C. Chandor,Robert Redford,,All Is Lost ,9000000,6.9
Mike Leigh,Lesley Manville,Ruth Sheen,All or Nothing ,9000000,7.6
Jason Trost,Sean Whalen,Jason Trost,All Superheroes Must Die ,20000,4
Bob Fosse,Roy Scheider,Ben Vereen,All That Jazz ,,7.8
Jonathan Levine,Luke Grimes,Michael Welch,All the Boys Love Mandy Lane ,750000,5.6
Steven Zaillian,Kate Winslet,Anthony Hopkins,All the King's Men ,55000000,6.2
Billy Bob Thornton,Matt Damon,Henry Thomas,All the Pretty Horses ,57000000,5.8
Stefan Ruzowitzky,Eddie Izzard,Udo Kier,All the Queen's Men ,25000000,4.5
David Gordon Green,Zooey Deschanel,Paul Schneider,All the Real Girls ,2500000,6.9
Robert Schwentke,Naomi Watts,Theo James,Allegiant ,110000000,5.8
Darren Lynn Bousman,Paul Sorvino,Barry Bostwick,Alleluia! The Devil's Carnival ,500000,7.4
Cameron Crowe,Philip Seymour Hoffman,Zooey Deschanel,Almost Famous ,60000000,7.9
Claudia Llosa,Ian Tracey,Zen McGrath,Aloft ,8000000,5.3
Cameron Crowe,Emma Stone,Bradley Cooper,Aloha ,37000000,5.4
Cameron Crowe,Emma Stone,Bradley Cooper,Aloha ,37000000,5.4
Uwe Boll,Catherine Lough Haggquist,Darren Shahlavi,Alone in the Dark ,20000000,2.3
Eric Nicholas,Jordana Spiro,Ana Claudia Talancón,Alone with Her ,1000000,6.1
Lee Tamahori,Morgan Freeman,Billy Burke,Along Came a Spider ,60000000,6.3
John Hamburg,Philip Seymour Hoffman,Masi Oka,Along Came Polly ,42000000,5.9
Zoran Lisinac,Matthew Emerick,Brock Baker,Along the Roadside ,250000,7.1
Anthony Bell,Kevin Sussman,Larry Miller,Alpha and Omega ,20000000,5.3
Richard Rich,Debi Derryberry,Kate Higgins,Alpha and Omega 4: The Legend of the Saw Toothed Cave,7000000,6
Tim Hill,Jesse McCartney,Beth Riesgraf,Alvin and the Chipmunks ,60000000,5.2
Mike Mitchell,Amy Poehler,Jesse McCartney,Alvin and the Chipmunks: Chipwrecked ,75000000,4.4
Walt Becker,Bella Thorne,Joshua Mikel,Alvin and the Chipmunks: The Road Chip ,90000000,5
Betty Thomas,Amy Poehler,Bridgit Mendler,Alvin and the Chipmunks: The Squeakquel ,75000000,4.5
Rita Merson,Ryan Guzman,James Wolk,Always Woodstock ,2400000,5.3
Milos Forman,Jeffrey Jones,F. Murray Abraham,Amadeus ,18000000,8.3
Jean-Pierre Jeunet,Mathieu Kassovitz,Jamel Debbouze,Amélie ,77000000,8.4
Costa-Gavras,Sebastian Koch,Mathieu Kassovitz,Amen. ,103000000,7.3
Patrick Gilles,Emma Caulfield,Dylan Baker,America Is Still the Place ,,7.5
Joe Roth,Julia Roberts,Rainn Wilson,America's Sweethearts ,48000000,5.7
Sam Mendes,Kevin Spacey,Peter Gallagher,American Beauty ,15000000,8.4
Piyush Dinker Pandya,Purva Bedi,Rizwan Manji,American Desi ,250000,6.7
Paul Weitz,Judy Greer,Dennis Quaid,American Dreamz ,19000000,5.5
Ridley Scott,Denzel Washington,Ruby Dee,American Gangster ,100000000,7.8
George Lucas,Harrison Ford,Ron Howard,American Graffiti ,777000,7.5
Sarik Andreasyan,Hayden Christensen,Jordana Brewster,American Heist ,10000000,5.2
Nick Love,Eddie Griffin,Christopher Berry,American Hero ,990000,4.9
Tony Kaye,Ethan Suplee,Beverly D'Angelo,American History X ,7500000,8.6
David O. Russell,Jennifer Lawrence,Christian Bale,American Hustle ,40000000,7.3
Sam Firstenberg,Michael Dudikoff,Steve James,American Ninja 2: The Confrontation,350000,4.7
Les Mayfield,Gregory Smith,Ronny Cox,American Outlaws ,35000000,6
Paul Weitz,Alyson Hannigan,Shannon Elizabeth,American Pie ,11000000,7
J.B. Rogers,Alyson Hannigan,Shannon Elizabeth,American Pie 2,30000000,6.4
Mary Harron,Christian Bale,Justin Theroux,American Psycho ,7000000,7.6
Jon Hurwitz,Alyson Hannigan,Dania Ramirez,American Reunion ,50000000,6.7
Clint Eastwood,Bradley Cooper,Leonard Roberts,American Sniper ,58800000,7.3
Shari Springer Berman,Josh Hutcherson,James Urbaniak,American Splendor ,,7.5
Jesse Dylan,Alyson Hannigan,Thomas Ian Nicholas,American Wedding ,55000000,6.3
Daniel Columbie,Keri Maletto,Nicholas Simmons,Amidst the Devil's Wings ,300000,4.3
John Sayles,Brian Lee Franklin,John Arcilla,Amigo ,1700000,5.8
Steven Spielberg,Anthony Hopkins,Morgan Freeman,Amistad ,36000000,7.2
Michael Polish,Olivia Rose Keegan,Patrick Bauchau,Amnesiac ,3000000,4.3
Sam Miller,Rachel Griffiths,Alan Williams,Among Giants ,2500000,5.9
Alejandro G. Iñárritu,Adriana Barraza,Jorge Salinas,Amores Perros ,2000000,8.1
Michael Haneke,Isabelle Huppert,Emmanuelle Riva,Amour ,8900000,7.9
Arthur Hiller,Eric Idle,Harvey Weinstein,An Alan Smithee Film: Burn Hollywood Burn ,10000000,3.5
David Zucker,Chriss Anglin,Geoffrey Arend,An American Carol ,12000000,4.3
Nadia Tass,Mia Farrow,Jordan Bridges,An American Girl Holiday ,200000,7.2
Courtney Solomon,Sissy Spacek,James D'Arcy,An American Haunting ,14000000,5
Sai Varadan,J.D. Williams,Hassan Johnson,An American in Hollywood ,125000,7.2
Lone Scherfig,Dominic Cooper,Olivia Williams,An Education ,4500000,7.3
Barry Levinson,Anna Friel,Brían F. O'Byrne,An Everlasting Piece ,14000000,6.3
Oliver Parker,Minnie Driver,Rupert Everett,An Ideal Husband ,14000000,6.9
Davis Guggenheim,Billy West,Al Gore,An Inconvenient Truth ,,7.5
Lasse Hallström,Morgan Freeman,Camryn Manheim,An Unfinished Life ,30000000,7
Luis Llosa,Frank Welker,Eric Stoltz,Anaconda ,45000000,4.6
Dwight H. Little,Nicholas Gonzalez,Salli Richardson-Whitfield,Anacondas: The Hunt for the Blood Orchid ,25000000,4.6
Harold Ramis,Robert De Niro,Cathy Moriarty,Analyze That ,60000000,5.9
Harold Ramis,Robert De Niro,Chazz Palminteri,Analyze This ,30000000,6.7
Don Bluth,Kirsten Dunst,Kelsey Grammer,Anastasia ,50000000,7.1
Stefan Ruzowitzky,Benno Fürmann,Rüdiger Vogler,Anatomy ,8400000,6.1
Adam McKay,Harrison Ford,Will Ferrell,Anchorman 2: The Legend Continues,50000000,6.3
Adam McKay,Darcy Donavan,Will Ferrell,Anchorman: The Legend of Ron Burgundy ,26000000,7.2
Rob Reiner,Yaya DaCosta,Annie Parisse,And So It Goes ,18000000,5.7
Richard Schenkman,Vanessa Williams,Mike Colter,And Then Came Love ,989000,4.8
Jerome Elston Scott,Taran Killam,Joanna Cassidy,Anderson's Cross ,300000,7.2
Luis Mandoki,Sonia Braga,Shirley Knight,Angel Eyes ,38000000,5.6
Alan Parker,Emily Watson,Devon Murray,Angela's Ashes ,25000000,7.3
Ron Howard,Tom Hanks,Ayelet Zurer,Angels & Demons ,150000000,6.7
